playerId,match,inning,balls,runs,wicket,best bowling in match,eco,average,5w,10w
10209,24,2,30,33,0,14 / 0,6.6,0,0,0
13682,12,-,-,-,-,-,-,-,-,-
21781,-,-,-,-,-,-,-,-,-,
13521,-,-,-,-,-,-,-,-,-,
15277,-,-,-,-,-,-,-,-,-,
10730,2,2,90,88,5,50 / 4,5.87,17.6,0,0
463,53,52,2476,2508,75,55 / 6,6.08,33.44,1,0
2281,166,157,5900,5740,175,44 / 6,5.84,32.8,4,0
9572,7,7,354,324,7,35 / 3,5.49,46.29,0,0
9214,6,6,302,269,7,56 / 3,5.34,38.43,0,0
8181,26,25,1121,1020,31,22 / 4,5.46,32.9,0,0
1851,73,42,1187,1020,27,23 / 3,5.16,37.78,0,0
8110,44,40,1825,1766,43,27 / 5,5.81,41.07,1,0
1394,25,3,28,26,0,004/0,5.57,0,0,0
10384,-,-,-,-,-,-,-,-,-,
9791,-,-,-,-,-,-,-,-,-,
6635,-,-,-,-,-,-,-,-,-,
12068,-,-,-,-,-,-,-,-,-,
11289,7,7,369,356,14,42 / 4,5.79,25.43,0,0
7854,3,3,114,97,4,44 / 3,5.11,24.25,0,0
21523,-,-,-,-,-,-,-,-,-,
12619,-,-,-,-,-,-,-,-,-,
24236,-,-,-,-,-,-,-,-,-,
15195,-,-,-,-,-,-,-,-,-,
16433,-,-,-,-,-,-,-,-,-,
10373,-,-,-,-,-,-,-,-,-,
11588,-,-,-,-,-,-,-,-,-,
14694,-,-,-,-,-,-,-,-,-,
22171,-,-,-,-,-,-,-,-,-,
13976,-,-,-,-,-,-,-,-,-,
24231,-,-,-,-,-,-,-,-,-,
9648,-,-,-,-,-,-,-,-,-,
23411,-,-,-,-,-,-,-,-,-,
10434,-,-,-,-,-,-,-,-,-,
11408,-,-,-,-,-,-,-,-,-,
8696,-,-,-,-,-,-,-,-,-,
7966,55,54,2613,2245,75,33 / 5,5.15,29.93,1,0
11145,-,-,-,-,-,-,-,-,-,
24226,-,-,-,-,-,-,-,-,-,
20317,-,-,-,-,-,-,-,-,-,
14251,1,1,42,49,2,49 / 2,7,24.5,0,0
1414,36,32,1187,1091,24,41 / 5,5.51,45.46,1,0
9456,-,-,-,-,-,-,-,-,-,
1692,67,63,2934,2749,95,48 / 5,5.62,28.94,2,0
8511,4,4,194,181,4,23 / 2,5.6,45.25,0,0
7789,69,67,3211,2962,96,32 / 4,5.53,30.85,0,0
8081,45,45,1548,1230,30,26 / 3,4.77,41,0,0
18143,13,10,387,362,10,31 / 2,5.61,36.2,0,0
24251,-,-,-,-,-,-,-,-,-,
13359,-,-,-,-,-,-,-,-,-,
14693,-,-,-,-,-,-,-,-,-,
24286,-,-,-,-,-,-,-,-,-,
24246,-,-,-,-,-,-,-,-,-,
13228,-,-,-,-,-,-,-,-,-,
11410,-,-,-,-,-,-,-,-,-,
8599,-,-,-,-,-,-,-,-,-,
11444,-,-,-,-,-,-,-,-,-,
15482,-,-,-,-,-,-,-,-,-,
11212,-,-,-,-,-,-,-,-,-,
10674,-,-,-,-,-,-,-,-,-,
24241,-,-,-,-,-,-,-,-,-,
9295,-,-,-,-,-,-,-,-,-,
24256,-,-,-,-,-,-,-,-,-,
