Player Id,Player name,IPL2020,IPL2021,IPL2022
265,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
7836,Deepak Chahar,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
10420,Sam Curran,Chennai Super Kings,Chennai Super Kings,
11813,Ruturaj Gaikwad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
6667,Imran Tahir,Chennai Super Kings,Chennai Super Kings,
1851,Kedar Jadhav,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
9783,Monu Kumar,Chennai Super Kings,NA,
6311,Ambati Rayudu,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
10100,Mitchell Santner,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
8683,Shardul Thakur,Chennai Super Kings,Chennai Super Kings,Delhi Capitals
158,Shane Watson,Chennai Super Kings,NA,
75,Harbhajan Singh,Chennai Super Kings,Kolkata Knight Riders,
413,Suresh Raina,Chennai Super Kings,Chennai Super Kings,
242,Dwayne Bravo,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1597,Murali Vijay,Chennai Super Kings,NA,
1844,Karn Sharma,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore
11595,Ravisrinivasan Sai Kishore,Chennai Super Kings,Chennai Super Kings,
9603,Lungi Ngidi,Chennai Super Kings,Chennai Super Kings,Delhi Capitals
11675,Narayan Jagadeesan,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
587,Ravindra Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
6258,Josh Hazlewood,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore
7825,Faf du Plessis,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore
466,Piyush Chawla,Chennai Super Kings,Mumbai Indians,
13483,KM Asif,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
9428,Shreyas Iyer,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders
9781,Avesh Khan,Delhi Capitals,Delhi Capitals,Lucknow Super Giants
11307,Tushar Deshpande,Delhi Capitals,NA,Chennai Super Kings
10484,Praveen Dubey,Delhi Capitals,NA,Delhi Capitals
13252,Lalit Yadav,Delhi Capitals,Delhi Capitals,Delhi Capitals
11427,Anrich Nortje,Delhi Capitals,Delhi Capitals,Delhi Capitals
8175,Harshal Patel,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
11214,Keemo Paul,Delhi Capitals,NA,
1447,Ajinkya Rahane,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders
8181,Mohit Sharma,Delhi Capitals,Delhi Capitals,
8989,Marcus Stoinis,Delhi Capitals,Delhi Capitals,Lucknow Super Giants
6534,Jason Roy,Delhi Capitals,Sunrisers Hyderabad,
6670,Chris Woakes,Delhi Capitals,Delhi Capitals,
702,Ishant Sharma,Delhi Capitals,Delhi Capitals,
1454,Amit Mishra,Delhi Capitals,Delhi Capitals,
12094,Prithvi Shaw,Delhi Capitals,Delhi Capitals,Delhi Capitals
13162,Daniel Sams,Delhi Capitals,NA,Mumbai Indians
9585,Kagiso Rabada,Delhi Capitals,Delhi Capitals,Punjab Kings
8808,Axar Patel,Delhi Capitals,Delhi Capitals,Delhi Capitals
10744,Rishabh Pant,Delhi Capitals,Delhi Capitals,Delhi Capitals
11158,Sandeep Lamichhane,Delhi Capitals,NA,
9789,Shimron Hetmyer,Delhi Capitals,Delhi Capitals,Rajasthan Royals
1446,Shikhar Dhawan,Delhi Capitals,Delhi Capitals,Punjab Kings
9200,Alex Carey,Delhi Capitals,NA,
1593,Ravichandran Ashwin,Delhi Capitals,Delhi Capitals,Rajasthan Royals
8733,KL Rahul,Punjab Kings,Punjab Kings,Lucknow Super Giants
13217,Arshdeep Singh,Punjab Kings,Punjab Kings,Mumbai Indians
9395,Sheldon Cottrell,Punjab Kings,NA,
8925,Krishnappa Gowtham,Punjab Kings,Chennai Super Kings,Lucknow Super Giants
9427,Deepak Hooda,Punjab Kings,Punjab Kings,Lucknow Super Giants
9429,Sarfaraz khan,Punjab Kings,Punjab Kings,Delhi Capitals
7662,Glenn Maxwell,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
12071,Mujeeb Ur Rahman,Punjab Kings,Sunrisers Hyderabad,
12779,Darshan Nalkande,Punjab Kings,Punjab Kings,Gujarat Titans
9406,Nicholas Pooran,Punjab Kings,Punjab Kings,Sunrisers Hyderabad
14254,Prabhsimran Singh,Punjab Kings,NA,Punjab Kings
10357,Jagadeesha Suchith,Punjab Kings,Punjab Kings,Sunrisers Hyderabad
9493,Hardus Viljoen,Punjab Kings,NA,
14659,Ravi Bishnoi,Punjab Kings,Punjab Kings,Lucknow Super Giants
11404,Ishan Porel,Punjab Kings,Punjab Kings,Punjab Kings
8983,James Neesham,Punjab Kings,Mumbai Indians,Rajasthan Royals
8257,Karun Nair,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals
7909,Mohammed Shami,Punjab Kings,Punjab Kings,Gujarat Titans
6319,Mandeep Singh,Punjab Kings,Punjab Kings,Delhi Capitals
6532,Chris Jordan,Punjab Kings,Punjab Kings,Chennai Super Kings
14452,Harpreet Brar,Punjab Kings,Punjab Kings,Punjab Kings
247,Chris Gayle,Punjab Kings,Punjab Kings,
8796,Murugan Ashwin,Punjab Kings,Punjab Kings,Mumbai Indians
2195,Mayank Agarwal,Punjab Kings,Punjab Kings,Mumbai Indians
624,Eoin Morgan,Kolkata Knight Riders,Kolkata Knight Riders,
8095,Pat Cummins,Kolkata Knight Riders,NA,Kolkata Knight Riders
10162,Chris Green,Kolkata Knight Riders,NA,
8292,Kuldeep Yadav,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals
12092,Kamlesh Nagarkoti,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals
2276,Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
9204,Nitish Rana,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
8944,Sandeep Warrier,Kolkata Knight Riders,Kolkata Knight Riders,
11808,Shubman Gill,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans
10896,Rinku Singh,Kolkata Knight Riders,NA,Kolkata Knight Riders
12926,Varun Chakravarthy,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
6496,Harry Gurney,Kolkata Knight Riders,NA,
9237,Pravin Tambe,Kolkata Knight Riders,NA,
11450,Ali Khan,Kolkata Knight Riders,NA,
9012,Rahul Tripathi,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad
12345,Shivam Mavi,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
7736,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
10551,Prasidh Krishna,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals
9295,Nikhil Naik,Kolkata Knight Riders,NA,
9218,"
Siddhesh Lad",Kolkata Knight Riders,NA,
145,Dinesh Karthik,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore
10692,Lockie Ferguson,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans
12254,Tom Banton,Kolkata Knight Riders,NA,
576,Rohit Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
8117,"
Trent Boult",Mumbai Indians,Mumbai Indians,Rajasthan Royals
12087,Rahul Chahar,Mumbai Indians,Mumbai Indians,Punjab Kings
8520,Quinton de Kock,Mumbai Indians,Mumbai Indians,Lucknow Super Giants
10276,Ishan Kishan,Mumbai Indians,Mumbai Indians,Mumbai Indians
7752,Chris Lynn,Mumbai Indians,Mumbai Indians,
3651,Mohsin Khan,Mumbai Indians,Mumbai Indians,Lucknow Super Giants
9647,Hardik Pandya,Mumbai Indians,Mumbai Indians,Gujarat Titans
657,Kieron Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
12344,Anukul Roy,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders
6315,Aditya Tare,Mumbai Indians,Mumbai Indians,
8182,Jayant Yadav,Mumbai Indians,Mumbai Indians,Gujarat Titans
7915,"
Suryakumar Yadav",Mumbai Indians,Mumbai Indians,Mumbai Indians
1601,Saurabh Tiwary,Mumbai Indians,Mumbai Indians,
13748,Sherfane Rutherford,Mumbai Indians,NA,Royal Challengers Bangalore
2283,James Pattinson,Mumbai Indians,NA,
11311,"
Krunal Pandya",Mumbai Indians,Mumbai Indians,Lucknow Super Giants
7624,Mitchell McClenaghan,Mumbai Indians,NA,
1451,Dhawal Kulkarni,Mumbai Indians,Mumbai Indians,
,Nathan Coulter-Nile,Mumbai Indians,Mumbai Indians,
9311,Jasprit Bumrah,Mumbai Indians,Mumbai Indians,Mumbai Indians
10947,Anmolpreet Singh,Mumbai Indians,Mumbai Indians,Mumbai Indians
2250,Steven Smith,Rajasthan Royals,Delhi Capitals,
14696,Akash Singh,Rajasthan Royals,Rajasthan Royals,
11540,Jofra Archer,Rajasthan Royals,NA,Mumbai Indians
9522,Tom Curran,Rajasthan Royals,Delhi Capitals,
13940,Yashasvi Jaiswal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
13136,Kartik Tyagi,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad
12627,Mayank Markande,Rajasthan Royals,Rajasthan Royals,Mumbai Indians
12305,Riyan Parag,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
8271,Sanju Samson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
6557,Ben Stokes,Rajasthan Royals,Rajasthan Royals,
11442,Oshane Thomas,Rajasthan Royals,NA,
6327,"
Jaydev Unadkat",Rajasthan Royals,Rajasthan Royals,Mumbai Indians
8358,Manan Vohra,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants
527,Robin Uthappa,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
9617,Andrew Tye,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants
9693,Rahul Tewatia,Rajasthan Royals,Rajasthan Royals,Gujarat Titans
10919,Shashank Singh,Rajasthan Royals,NA,Sunrisers Hyderabad
8924,Ankit Rajpoot,Rajasthan Royals,NA,Lucknow Super Giants
6349,David Miller,Rajasthan Royals,Rajasthan Royals,Gujarat Titans
10954,Mahipal Lomror,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore
9746,Shreyas Gopal,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad
2258,"
Jos Buttler",Rajasthan Royals,NA,Rajasthan Royals
13135,Anuj Rawat,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore
6293,Varun Aaron,Rajasthan Royals,NA,Gujarat Titans
1413,Virat Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
