playerId,2022,2021,2020,2019,2018,2017,2016,2015,2014
265,12.0 Cr,15.0 Cr,15.0 Cr,15.0 Cr,15.0 Cr,12.50 Cr,12.50 Cr,12.50 Cr,12.50 Cr
7836,14.0 Cr,80.0 L,80.0 L,80.0 L,80.0 L,10.0 L,10.0 L,--,--
11813,6.0 Cr,20.0 L,20.0 L,20.0 L,--,--,--,--,--
6667,--,1.0 Cr,1.0 Cr,1.0 Cr,1.0 Cr,50.0 L,1.0 Cr,1.0 Cr,1.0 Cr
1851,2.0 Cr,7.80 Cr,7.80 Cr,7.80 Cr,2.0 Cr,2.0 Cr,2.0 Cr,2.0 Cr,0
9783,20.0 L,20.0 L,20.0 L,20.0 L,--,--,--,--,0
6311,6.75 Cr,2.20 Cr,2.20 Cr,2.20 Cr,2.20 Cr,4.0 Cr,4.0 Cr,4.0 Cr,4.0 Cr
10100,50.0 L,50.0 L,50.0 L,50.0 L,--,--,--,--,0
8683,10.75 Cr,2.60 Cr,2.60 Cr,2.60 Cr,2.60 Cr,20.0 L,20.0 L,20.0 L,20.0 L
413,--,11.0 Cr,11.0 Cr,11.0 Cr,11.0 Cr,12.50 Cr,9.50 Cr,9.50 Cr,9.50 Cr
242,4.40 Cr,6.40 Cr,6.40 Cr,6.40 Cr,6.40 Cr,4.0 Cr,4.0 Cr,4.0 Cr,4.0 Cr
1844,5.0 Cr,5.0 Cr,5.0 Cr,5.0 Cr,3.20 Cr,3.75 Cr,3.75 Cr,3.75 Cr,0
11595,3.0 Cr,20.0 L,20.0 L,--,--,--,--,--,--
9603,50.0 L,50.0 L,50.0 L,50.0 L,--,--,--,--,0
11675,--,20.0 L,20.0 L,20.0 L,20.0 L,--,--,--,--
587,16.0 Cr,7.0 Cr,7.0 Cr,7.0 Cr,7.0 Cr,9.50 Cr,5.50 Cr,5.50 Cr,5.50 Cr
6258,7.75 Cr,2.0 Cr,2.0 Cr,--,--,--,--,--,--
7825,7.0 Cr,1.60 Cr,1.60 Cr,1.60 Cr,1.60 Cr,4.0 Cr,4.75 Cr,4.75 Cr,4.75 Cr
466,2.40 Cr,6.75 Cr,4.20 Cr,4.20 Cr,4.25 Cr,4.25 Cr,4.25 Cr,4.25 Cr,0
13483,20.0 L,40.0 L,40.0 L,40.0 L,40.0 L,--,--,--,--
9428,12.25 Cr,7.0 Cr,7.0 Cr,7.0 Cr,7.0 Cr,2.60 Cr,2.60 Cr,2.60 Cr,--
9781,10.0 Cr,70.0 L,70.0 L,70.0 L,70.0 L,10.0 L,--,--,--
11307,20.0 L,--,--,--,--,--,--,--,--
10484,20.0 L,--,--,--,35.0 L,35.0 L,--,--,0
13252,20.0 L,20.0 L,--,--,--,--,--,--,0
11427,6.50 Cr,50.0 L,50.0 L,--,--,--,--,--,--
8175,10.75 Cr,20.0 L,20.0 L,20.0 L,20.0 L,40.0 L,40.0 L,40.0 L,40.0 L
11214,--,--,--,--,--,--,--,--,0
