playerId,Player name,Mat,Inn_bat,Runs_bat,Avg_bat,SR,HS,NO,100s,50s,4s,6s,Inn_bowl,Balls,Runs_bowl,Wkt,BBI,BBM,Eco,Avg_bowl,5W,10W
265,MS Dhoni,234,206,4978,39.2,135.2,84,79,0,24,346,229,0,0,0,0,0,0,0.0,0.0,0,0
7836,Deepak Chahar,63,12,79,11.29,138.6,39,5,0,0,2,6,63,1324,1722,59,13 / 6,13 / 6,7.8,29.19,0,0
10420,Sam Curran,32,23,337,22.47,149.78,55,8,0,2,30,18,31,648,995,32,11 / 3,11 / 3,9.21,31.09,0,0
11813,Ruturaj Gaikwad,36,36,1207,37.72,130.35,101,4,1,10,113,43,0,0,0,0,0,0,0.0,0.0,0,0
6667,Imran Tahir,59,9,33,8.25,89.19,13,5,0,0,5,0,59,1316,1703,82,12 / 5,12 / 5,7.76,20.77,0,0
1851,Kedar Jadhav,93,80,1196,22.15,123.17,69,26,0,4,101,40,0,0,0,0,0,0,0.0,0.0,0,0
9783,Monu Kumar,1,0,0,0.0,0.0,0,0,0,0,0,0,1,12,20,0,20 / -,20 / -,10.0,0.0,0,0
6311,Ambati Rayudu,188,175,4190,28.9,127.12,100,30,1,22,349,164,0,0,0,0,0,0,0.0,0.0,0,0
10100,Mitchell Santner,12,6,54,18.0,108.0,22,3,0,0,3,3,12,240,277,10,13 / 4,13 / 4,6.92,27.7,0,0
8683,Shardul Thakur,75,24,173,10.81,129.1,29,8,0,0,12,8,74,1550,2340,82,36 / 4,36 / 4,9.06,28.54,0,0
158,Shane Watson,145,141,3874,30.99,137.91,117,16,4,21,376,190,105,2029,2682,92,29 / 4,29 / 4,7.93,29.15,0,0
75,Harbhajan Singh,163,90,833,15.15,137.91,64,35,0,1,79,42,160,3416,4030,150,18 / 4,18 / 4,7.08,26.87,1,0
413,Suresh Raina,205,200,5528,32.52,136.73,100,30,1,39,506,203,69,908,1118,25,0 / 2,0 / 2,7.39,44.72,0,0
242,Dwayne Bravo,161,113,1560,22.61,129.57,70,44,0,5,121,66,158,3119,4360,183,22 / 4,22 / 4,8.39,23.83,0,0
1597,Murali Vijay,106,106,2619,25.93,121.87,127,5,2,13,247,91,4,36,49,0,8 / 0,8 / 0,8.17,0.0,0,0
1844,Karn Sharma,68,35,317,15.1,115.69,39,14,0,0,18,14,66,1222,1610,59,16 / 1,16 / 1,7.91,27.29,0,0
11595,Ravisrinivasan Sai Kishore,5,0,0,0.0,0.0,0,0,0,0,0,0,5,96,121,6,7 / -,7 / -,7.56,20.17,0,0
