player_id,Mat,Inn,Runs,Avg,SR,HS,NO,100s,50s,4s,6s
265,234,206,4978,39.2,135.2,84,79,0,24,346,229
7836,63,12,79,11.29,138.6,39,5,0,0,2,6
10420,32,23,337,22.47,149.78,55,8,0,2,30,18
11813,36,36,1207,37.72,130.35,101,4,1,10,113,43
6667,59,9,33,8.25,89.19,13,5,0,0,5,0
1851,93,80,1196,22.15,123.17,69,26,0,4,101,40
9783,1,-,-,-,-,-,-,-,-,-,-
6311,188,175,4190,28.9,127.12,100,30,1,22,349,164
10100,12,6,54,18.0,108.0,22,3,0,0,3,3
8683,75,24,173,10.81,129.1,29,8,0,0,12,8
158,145,141,3874,30.99,137.91,117,16,4,21,376,190
75,163,90,833,15.15,137.91,64,35,0,1,79,42
413,205,200,5528,32.52,136.73,100,30,1,39,506,203
242,161,113,1560,22.61,129.57,70,44,0,5,121,66
1597,106,106,2619,25.93,121.87,127,5,2,13,247,91
1844,68,35,317,15.1,115.69,39,14,0,0,18,14
11595,5,-,-,-,-,-,-,-,-,-,-
9603,14,-,-,-,-,-,-,-,-,-,-
11675,7,4,73,24.33,110.61,39,1,0,0,7,1
587,210,161,2502,26.62,127.65,62,67,0,2,182,90
6258,24,5,18,0.0,69.23,7,5,0,0,1,0
7825,116,109,3403,34.37,130.58,96,10,0,25,314,109
466,165,82,584,11.68,111.03,24,32,0,0,54,18
13483,3,-,-,-,-,-,-,-,-,-,-
9428,101,101,2776,31.55,125.38,96,13,0,19,237,99
9781,38,6,31,15.5,163.16,12,4,0,0,2,3
11307,7,2,21,21.0,175.0,20,1,0,0,2,1
10484,3,1,7,0.0,53.85,7,1,0,0,0,0
13252,19,13,229,25.44,104.57,48,4,0,0,18,7
11427,30,6,8,8.0,66.67,3,5,0,0,0,0
8175,78,36,230,10.45,129.21,36,14,0,0,15,13
11214,8,6,18,3.6,75.0,7,1,0,0,1,1
1447,158,148,4074,30.86,120.68,105,16,2,28,431,80
8181,86,27,122,8.13,104.27,21,12,0,0,8,4
8989,67,59,1070,26.1,137.36,65,18,0,4,83,48
6534,13,13,329,29.91,129.02,91,2,0,2,39,9
6670,21,12,78,13.0,101.3,18,6,0,0,7,2
702,93,25,55,9.17,90.16,10,19,0,0,4,2
1454,154,56,362,11.68,93.06,31,25,0,0,29,5
12094,63,63,1588,25.21,147.45,99,0,0,12,192,55
13162,16,13,44,4.89,100.0,15,4,0,0,1,3
9585,63,26,186,12.4,105.08,44,11,0,0,16,6
8808,122,88,1135,19.24,128.83,44,29,0,0,67,54
10744,98,97,2838,34.61,147.97,128,15,1,15,260,129
11158,9,1,0,0.0,0.0,0,0,0,0,0,0
9789,46,44,831,30.78,152.2,75,17,0,3,55,52
1446,206,205,6243,34.88,126.33,106,26,2,47,701,136
9200,3,3,32,16.0,110.34,14,1,0,0,0,1
1593,184,75,647,13.48,117.64,50,27,0,1,51,21
8733,109,100,3889,48.01,136.22,132,19,4,31,327,164
13217,37,9,23,5.75,65.71,10,5,0,0,3,0
9395,6,1,0,0.0,0.0,0,0,0,0,0,0
8925,28,20,186,13.29,167.57,33,6,0,0,13,12
9427,95,75,1236,20.26,132.05,64,14,0,7,77,56
9429,46,33,532,24.18,137.82,67,11,0,1,59,13
7662,110,106,2319,25.48,153.88,95,15,0,13,197,127
12071,19,7,12,4.0,80.0,10,4,0,0,2,0
12779,2,-,-,-,-,-,-,-,-,-,-
9406,47,44,912,26.06,151.24,77,9,0,4,51,65
14254,6,6,64,10.67,96.97,16,0,0,0,6,2
10357,22,10,70,17.5,114.75,34,6,0,0,6,3
9493,6,3,3,1.5,42.86,2,1,0,0,0,0
14659,37,5,8,4.0,47.06,6,3,0,0,1,0
11404,1,-,-,-,-,-,-,-,-,-,-
8983,14,10,92,10.22,98.92,22,1,0,0,6,2
8257,76,68,1496,23.75,127.75,83,5,0,10,161,39
7909,93,23,69,6.27,94.52,21,12,0,0,5,2
6319,108,95,1692,21.42,123.32,77,16,0,6,176,37
6532,28,11,75,9.38,115.38,30,3,0,0,3,3
14452,15,9,106,35.33,111.58,25,6,0,0,6,5
247,142,141,4965,39.72,148.96,175,16,6,31,405,357
8796,42,13,35,3.89,70.0,9,4,0,0,2,1
2195,113,107,2331,22.63,134.51,106,4,1,12,227,91
624,83,75,1405,22.66,122.6,68,13,0,5,112,64
8095,42,31,379,18.95,152.21,66,11,0,3,24,26
10162,1,-,-,-,-,-,-,-,-,-,-
8292,59,18,105,15.0,82.68,16,11,0,0,8,2
12092,12,7,22,5.5,66.67,8,3,0,0,1,0
2276,148,86,1025,14.86,162.7,75,17,0,4,112,63
9204,91,85,2181,27.96,134.22,87,7,0,15,190,111
8944,5,-,-,-,-,-,-,-,-,-,-
