playerId,Player name,Mat,Inn_bat,Runs_bat,Avg_bat,SR,HS,NO,100s,50s,4s,6s,Inn_bowl,Balls,Runs_bowl,Wkt,BBI,BBM,Eco,Avg_bowl,5W,10W
265,MS Dhoni,350,297,10773,50.58,87.56,183,84,10,73,826,229,2,36,31,1,14 / 1,14 / 1,5.17,31.0,0,0
7836,Deepak Chahar,7,5,179,59.67,101.7,69,2,0,2,17,5,7,312,313,10,37 / 2,37 / 2,6.02,31.3,0,0
10420,Sam Curran,14,8,159,26.5,87.36,95,2,0,1,14,4,14,592,578,15,48 / 5,48 / 5,5.86,38.53,1,0
11813,Ruturaj Gaikwad,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6667,Imran Tahir,107,36,157,7.85,69.78,29,16,0,0,21,1,104,5541,4297,173,45 / 7,45 / 7,4.65,24.84,3,0
1851,Kedar Jadhav,73,52,1389,42.09,101.61,120,19,2,6,141,24,42,1187,1020,27,23 / 3,23 / 3,5.16,37.78,0,0
9783,Monu Kumar,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6311,Ambati Rayudu,55,50,1694,47.06,79.05,124,14,3,10,145,30,9,121,124,3,5 / 1,5 / 1,6.15,41.33,0,0
10100,Mitchell Santner,77,59,947,27.06,88.67,67,24,0,2,67,27,72,3505,2845,80,50 / 5,50 / 5,4.87,35.56,1,0
8683,Shardul Thakur,19,11,205,34.17,120.59,50,5,0,1,18,8,19,909,1004,25,52 / 4,52 / 4,6.63,40.16,0,0
158,Shane Watson,190,169,5757,40.54,90.45,185,27,9,33,570,131,163,6466,5342,168,36 / 4,36 / 4,4.96,31.8,0,0
75,Harbhajan Singh,236,128,1237,13.3,81.06,49,35,0,0,92,35,227,12479,8973,269,31 / 5,31 / 5,4.31,33.36,3,0
413,Suresh Raina,226,194,5615,35.31,93.51,116,35,5,36,476,120,101,2126,1811,36,34 / 3,34 / 3,5.11,50.31,0,0
242,Dwayne Bravo,164,141,2968,25.37,82.31,112,24,2,10,240,58,150,6511,5874,199,43 / 6,43 / 6,5.41,29.52,1,0
1597,Murali Vijay,17,16,339,21.19,67.0,72,0,0,1,33,3,2,36,37,1,19 / 1,19 / 1,6.17,37.0,0,0
1844,Karn Sharma,2,0,0,0.0,0.0,0,0,0,0,0,0,2,114,125,0,61 / 0,61 / 0,6.58,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,Ravisrinivasan Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11595,R Sai Kishore,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9603,Lungi Ngidi,36,12,62,15.5,68.89,19,8,0,0,4,4,36,1764,1643,62,58 / 6,58 / 6,5.59,26.5,1,0
11675,Narayan Jagadeesan,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
587,Ravindra Jadeja,171,115,2447,32.63,86.53,87,40,0,13,179,50,166,8611,7062,189,36 / 5,36 / 5,4.92,37.37,1,0
6258,Josh Hazlewood,61,21,58,19.33,67.44,11,18,0,0,7,0,60,3230,2537,97,52 / 6,52 / 6,4.71,26.15,3,0
7825,Faf du Plessis,143,136,5507,46.67,88.57,185,18,12,35,495,66,11,192,189,2,8 / 1,8 / 1,5.91,94.5,0,0
466,Piyush Chawla,25,12,38,5.43,65.52,13,5,0,0,3,0,25,1312,1117,32,23 / 4,23 / 4,5.11,34.91,0,0
13483,KM Asif,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9428,Shreyas Iyer,27,24,947,41.17,96.04,103,1,1,9,93,17,4,31,37,0,1 / 0,1 / 0,7.16,0.0,0,0
9781,Avesh Khan,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
