budget_2018,Chennai Super Kings,Mumbai Indians,Royal Challengers Bangalore,Kolkata Knight Riders,Delhi Capitals,Sunrisers Hyderabad,Rajasthan Royals,Punjab Kings,Lucknow Super Giants,Gujarat Titans
year_2018,80,80,80,80,80,80,80,80,,
budget_2019,47,47,49,59,47,59,67.5,67.5,,
year_2019,82,82,82,82,82,82,82,82,,
budget_2020,78.8,77.95,74,70.75,58,69.75,74.85,77.9,,
year_2020,88,88,88,88,88,88,88,88,,
budget_2021,84.85,82.05,78.6,76.5,76,74.9,70.25,68.5,,
year_2021,90,90,90,90,90,90,90,90,,
budget_2022,62.1,69.65,49.1,74.25,72.09,74.25,50.15,53.2,,
year_2022,90,90,90,90,90,90,90,90,90,90
,87.05,89.9,88.45,89.55,89.9,89.9,89.05,86.55,90,89.85
